ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,genre
2024-04-02T17:17:21Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,clickrow,trackdone,False,False,False,1712078014,False,"gymcore, hard alternative"
2024-04-02T17:21:08Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712078240,False,"gymcore, hard alternative"
2024-04-02T17:24:56Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712078468,False,"gymcore, hard alternative"
2024-04-02T17:28:44Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712078695,False,"gymcore, hard alternative"
2024-04-02T19:32:02Z,windows,305280,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712078923,False,"gymcore, hard alternative"
2024-04-02T19:35:50Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712086321,False,"gymcore, hard alternative"
2024-04-02T19:39:37Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712086549,False,"gymcore, hard alternative"
2024-04-02T19:43:25Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712086777,False,"gymcore, hard alternative"
2024-04-02T19:47:13Z,windows,227226,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,trackdone,False,False,False,1712087005,False,"gymcore, hard alternative"
2024-04-02T19:50:38Z,windows,203536,TR,159.20.69.21,The Wicked Side of Me,Cold Driven,The Wicked Side of Me,spotify:track:45nxQzN6z9YxFjF2aVcL8Y,,,,trackdone,endplay,False,True,False,1712087232,False,"gymcore, hard alternative"
2024-04-02T19:54:27Z,windows,228386,TR,159.20.69.21,Kingdom Come,Cold Driven,The Wicked Side of Me,spotify:track:6Ghp5EsiEesuFIDJQ7jnc2,,,,clickrow,trackdone,False,False,False,1712087438,False,"gymcore, hard alternative"
2024-04-02T19:58:00Z,windows,213186,TR,159.20.69.21,Straight For Disaster,Cold Driven,The Wicked Side of Me,spotify:track:32HzgXnY9mmKqVVWcTfUmi,,,,trackdone,trackdone,False,False,False,1712087666,False,"gymcore, hard alternative"
